Model,mAP(IoU)
final_batch_1/tomato_models/mask_rcnn_model.001-0.251963.h5,0.968286
final_batch_1/tomato_models/mask_rcnn_model.002-0.189309.h5,0.966857
final_batch_1/tomato_models/mask_rcnn_model.003-0.144684.h5,0.988571
final_batch_1/tomato_models/mask_rcnn_model.004-0.151528.h5,0.990000
final_batch_1/tomato_models/mask_rcnn_model.005-0.174371.h5,0.987143
final_batch_1/tomato_models/mask_rcnn_model.006-0.110972.h5,0.990000
final_batch_1/tomato_models/mask_rcnn_model.007-0.105997.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.008-0.220491.h5,0.990000
final_batch_1/tomato_models/mask_rcnn_model.009-0.100675.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.010-0.241118.h5,0.990000
final_batch_1/tomato_models/mask_rcnn_model.011-0.108389.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.012-0.218099.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.013-0.089232.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.014-0.214085.h5,0.992857
final_batch_1/tomato_models/mask_rcnn_model.015-0.087685.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.016-0.087449.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.017-0.086953.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.018-0.147647.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.019-0.214764.h5,0.991429
final_batch_1/tomato_models/mask_rcnn_model.020-0.088839.h5,0.991429
